Application,Path,Start Date,End Date,Duration
LibreOffice,,2017-04-29,2017-04-29,0:00:06
SecurityAgent,,2017-04-29,2017-04-29,0:00:01
Terminal,,2017-04-29,2017-04-29,0:00:00
Scrivener,,2017-04-29,2017-04-29,0:00:02
TextEdit,Untitled 11,2017-04-29,2017-04-29,0:00:30
System Preferences,Loading Security & Privacy…,2017-04-29,2017-04-29,0:00:00
Timing,General,2017-04-29,2017-04-29,0:00:23
System Preferences,Security & Privacy,2017-04-29,2017-04-29,0:00:09
Timing,Timing trial (9 days remaining),2017-04-29,2017-04-29,0:05:10
Timing,Updates,2017-04-29,2017-04-29,0:00:02
